Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Joshua Kimmich,GER,EURO,M/D,4,360,4,0,0,1,0,0,0,1,0,1,0,1,1,1,21,6,7,1,3,3,1,3,3,2,6,191,218,3,1,26,1,11,0,0,1,1,0,0,0,0,1,0,3,0,294,3,56,10,120,1,39,0,55,4,0,0,0,0,2,1,4,4,4,0,0,0,7,0,0,0,0,0,0,0,0,2,2,0,6,3,0,1,0,0,4
Jan Boril,CZE,EURO,D,4,360,4,0,0,2,0,0,0,0,0,0,0,1,0,9,7,0,2,0,2,0,2,7,3,8,3,119,155,0,3,33,1,14,0,0,1,0,0,0,0,0,0,0,1,0,237,6,44,24,61,1,11,0,58,9,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4,4,0,9,0,0,1,0,0,2
Sverrir Ingason,PAO,UEL,D,4,360,4,0,0,1,0,0,0,0,0,0,0,1,0,4,4,3,3,0,3,0,4,7,1,4,3,215,259,3,12,29,2,23,0,0,1,0,0,0,0,0,0,0,0,0,305,4,16,12,64,0,5,0,48,25,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,7,7,0,16,0,0,0,0,0,3
Grzegorz Krychowiak,LMO,UCL,M,4,360,4,0,0,1,0,0,0,0,0,0,0,3,0,7,1,0,2,0,2,0,1,1,0,4,8,151,187,0,6,25,3,18,0,0,0,0,0,3,0,0,0,0,2,0,238,1,21,16,61,0,3,0,46,26,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,6,6,0,20,0,0,0,0,0,7
Mykola Matviyenko,DON,UEL,D,4,360,4,0,0,0,0,0,0,1,0,1,0,1,0,6,5,0,1,1,0,0,2,9,7,1,2,273,307,0,5,30,1,17,0,0,1,0,0,0,0,0,0,0,1,0,386,8,31,13,98,1,7,0,50,25,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,6,6,0,12,0,0,0,1,0,3
Helton,BEN,UEL,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,104,0,2,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,141,0,2,0,13,0,0,0,42,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,5,4,4,0,0,0,6,6,1,21,0,0,0,0,0,0
Daniil Kulikov,LMO,UCL,M,4,359,4,0,1,1,0,0,0,0,0,0,0,1,1,8,3,0,1,0,1,0,2,13,4,8,4,106,139,0,1,17,0,18,0,0,1,1,0,0,0,0,0,0,1,0,197,1,15,25,43,2,4,0,42,17,0,0,0,0,1,0,1,1,2,0,0,0,5,1,0,0,0,0,0,0,0,8,8,0,11,0,0,0,0,0,0
Antony,AJX,UCL,F,4,358,4,0,2,0,0,0,1,0,0,0,0,9,7,3,10,2,7,1,7,0,1,7,3,3,9,109,153,2,2,19,5,23,0,0,4,3,1,5,4,0,0,0,3,0,233,10,42,21,74,0,16,0,69,2,0,0,0,0,0,0,1,1,2,0,0,0,5,0,0,0,0,0,0,0,0,2,2,0,5,0,0,3,0,0,8
Achraf Hakimi,INT,UCL,M/D,5,358,4,1,2,1,0,0,0,1,0,1,0,1,0,7,19,4,4,1,3,0,1,8,4,2,5,112,136,4,5,25,4,22,1,0,1,0,0,0,0,0,0,0,2,1,251,10,38,21,71,1,15,0,57,5,0,0,0,0,0,0,0,0,3,0,0,0,6,1,0,0,0,0,0,0,0,1,1,0,6,0,0,1,0,0,10
Thorgan Hazard,BEL,EURO,F/M,4,358,4,0,2,1,0,0,2,0,0,0,0,4,3,5,5,0,1,0,1,0,1,13,7,11,2,210,240,0,4,24,3,22,0,0,3,2,1,1,1,1,0,0,2,0,329,8,31,28,95,0,5,0,45,13,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,6,6,0,16,0,0,0,0,1,3
Alessandro Deiola,SPE,SERI,M,12,357,4,8,4,1,0,0,0,0,0,0,0,5,1,3,8,4,8,1,5,3,1,6,3,6,5,112,147,0,3,21,2,16,0,0,3,0,0,2,1,0,0,0,2,0,194,7,30,19,62,0,7,0,47,7,0,0,0,0,2,1,5,4,2,1,0,0,6,0,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,0,2
Dominik Plechaty,SPA,UEL,D,5,357,4,1,0,0,0,1,0,0,0,0,0,0,0,12,1,0,0,0,0,0,3,9,2,7,7,106,151,0,5,20,3,24,0,0,0,0,0,0,0,0,0,0,4,0,240,0,13,30,32,2,4,0,65,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,4
